JobID,JobTitle,Company,LocationCity,LocationState,Latitude,Longitude,PrimarySkill,AdditionalSkills,ExperienceLevel,Salary,DatePosted,Remote
J0050,ML Ops Engineer,Meta,Seattle,WA,47.6062,-122.3321,Machine Learning,Python,Senior,158000,2024-02-19,No
J0051,Site Reliability Engineer,Apple,Boston,MA,42.3601,-71.0589,AWS,"Python, Java",Entry,79000,2024-07-29,Yes
J0052,Python Developer,CloudLabs,Raleigh,NC,35.7796,-78.6382,Python,Machine Learning,Mid,115000,2024-02-20,No
J0053,Azure DevOps Engineer,FintechCo,Austin,TX,30.2672,-97.7431,Azure,Machine Learning,Senior,124000,2024-02-25,No
J0054,DevOps Engineer,Meta,Denver,CO,39.7392,-104.9903,AWS,,Mid,111000,2024-08-17,No
J0055,ML Ops Engineer,Microsoft,San Francisco,CA,37.7749,-122.4194,Machine Learning,,Entry,90000,2024-08-24,Yes
J0056,Database Administrator,Netflix,Denver,CO,39.7392,-104.9903,SQL,Java,Mid,96000,2024-02-20,No
J0057,Frontend Developer,Amazon,Redmond,WA,47.673988,-122.121513,Other,"Machine Learning, Java",Entry,58000,2024-03-26,No
J0058,Azure DevOps Engineer,Netflix,Redmond,WA,47.673988,-122.121513,Azure,Java,Entry,72000,2024-07-24,No
J0059,Cloud Engineer (Azure),Salesforce,Mountain View,CA,37.3861,-122.0839,Azure,"SQL, Other",Entry,63000,2024-07-18,Yes
J0060,Back-end Engineer,IBM,Boston,MA,42.3601,-71.0589,Python,"Machine Learning, Other",Entry,67000,2024-10-11,No
J0061,Back-end Engineer,Microsoft,Redmond,WA,47.673988,-122.121513,Python,,Entry,81000,2024-05-31,No
J0062,Database Administrator,DataWorks,Los Angeles,CA,34.0522,-118.2437,SQL,Other,Senior,108000,2024-10-04,No
J0063,Cloud Architect,Google,Mountain View,CA,37.3861,-122.0839,AWS,Java,Mid,106000,2024-10-26,Yes
J0064,DevOps Engineer,Google,Denver,CO,39.7392,-104.9903,AWS,Other,Entry,72000,2024-02-11,Yes
J0065,Frontend Developer,DataWorks,Seattle,WA,47.6062,-122.3321,Other,Java,Mid,79000,2024-04-30,No
J0066,Cloud Engineer (AWS),DeepVision,Dallas,TX,32.7767,-96.797,AWS,"SQL, Azure",Mid,104000,2024-05-06,No
J0067,Automation Engineer,Google,Dallas,TX,32.7767,-96.797,Python,Java,Entry,80000,2024-02-11,No
J0068,Backend Developer,DataWorks,Dallas,TX,32.7767,-96.797,Java,"SQL, Python",Senior,154000,2024-09-24,No
J0069,Software Engineer,Meta,Raleigh,NC,35.7796,-78.6382,Java,Python,Senior,138000,2024-06-09,No
J0070,Research Scientist,Salesforce,New York,NY,40.7128,-74.006,Machine Learning,"AWS, Python",Senior,193000,2024-06-02,No
J0071,Product Analyst,DeepVision,Seattle,WA,47.6062,-122.3321,Other,"SQL, Java",Entry,59000,2024-01-05,No
J0072,Cloud Engineer (AWS),Amazon,Denver,CO,39.7392,-104.9903,AWS,"SQL, Machine Learning, Other",Entry,77000,2024-04-19,No
J0073,Software Engineer,Microsoft,Austin,TX,30.2672,-97.7431,Java,Python,Senior,138000,2024-02-05,No
J0074,Cloud Architect,IBM,New York,NY,40.7128,-74.006,AWS,Python,Mid,110000,2024-08-12,No
J0075,Cloud Architect,DataWorks,Raleigh,NC,35.7796,-78.6382,AWS,Java,Senior,142000,2024-09-27,Yes
J0076,Backend Developer,HealthAI,Denver,CO,39.7392,-104.9903,Java,"AWS, Python, Azure",Mid,98000,2024-06-02,No
J0077,Machine Learning Engineer,DeepVision,New York,NY,40.7128,-74.006,Machine Learning,Python,Senior,178000,2024-05-15,Yes
J0078,Frontend Developer,FintechCo,Denver,CO,39.7392,-104.9903,Other,Python,Senior,108000,2024-03-20,No
J0079,Software Engineer,DataWorks,Redmond,WA,47.673988,-122.121513,Java,,Mid,93000,2024-06-24,No
J0080,Data Analyst,StartupX,Chicago,IL,41.8781,-87.6298,SQL,Machine Learning,Mid,95000,2024-05-08,No
J0081,Frontend Developer,CloudLabs,Boston,MA,42.3601,-71.0589,Other,AWS,Entry,63000,2024-05-21,Yes
J0082,Python Developer,Apple,New York,NY,40.7128,-74.006,Python,Machine Learning,Senior,162000,2024-05-14,No
J0083,Support Engineer,StartupX,Los Angeles,CA,34.0522,-118.2437,Other,"SQL, AWS",Mid,82000,2024-08-06,Yes
J0084,Python Developer,Amazon,Seattle,WA,47.6062,-122.3321,Python,"Java, Azure",Senior,127000,2024-03-17,No
J0085,Frontend Developer,HealthAI,Austin,TX,30.2672,-97.7431,Other,"AWS, Java",Senior,105000,2024-10-25,No
J0086,Cloud Engineer (Azure),Salesforce,New York,NY,40.7128,-74.006,Azure,"AWS, Other",Entry,78000,2024-01-22,No
J0087,Data Analyst,DeepVision,Mountain View,CA,37.3861,-122.0839,SQL,Java,Mid,107000,2024-07-02,No
J0088,QA Engineer,CloudLabs,Seattle,WA,47.6062,-122.3321,Other,"Python, Machine Learning, Azure",Mid,88000,2024-06-30,No
J0089,BI Developer,DataWorks,Los Angeles,CA,34.0522,-118.2437,SQL,Java,Senior,126000,2024-03-20,Yes
J0090,Cloud Engineer (Azure),RetailCorp,New York,NY,40.7128,-74.006,Azure,Other,Entry,71000,2024-07-30,No
J0091,Cloud Engineer (Azure),FintechCo,Austin,TX,30.2672,-97.7431,Azure,"AWS, Python, Other",Mid,107000,2024-07-29,No
J0092,QA Engineer,IBM,New York,NY,40.7128,-74.006,Other,Machine Learning,Senior,127000,2024-02-25,No
J0093,Python Developer,HealthAI,Chicago,IL,41.8781,-87.6298,Python,Machine Learning,Mid,98000,2024-04-23,Yes
J0094,Support Engineer,Apple,San Francisco,CA,37.7749,-122.4194,Other,Azure,Senior,106000,2024-04-26,Yes
J0095,Database Administrator,CloudLabs,Redmond,WA,47.673988,-122.121513,SQL,"Java, Azure",Mid,83000,2024-07-23,Yes
J0096,Product Analyst,HealthAI,Seattle,WA,47.6062,-122.3321,Other,Java,Mid,90000,2024-05-22,No
J0097,Automation Engineer,Salesforce,Raleigh,NC,35.7796,-78.6382,Python,Azure,Senior,129000,2024-10-01,No
J0098,Frontend Developer,Amazon,San Francisco,CA,37.7749,-122.4194,Other,"SQL, Java",Entry,62000,2024-04-01,No
J0099,Product Analyst,Google,Seattle,WA,47.6062,-122.3321,Other,Java,Mid,86000,2024-08-10,No
J0100,Product Analyst,Salesforce,Dallas,TX,32.7767,-96.797,Other,Java,Mid,82000,2024-09-18,No
J0101,Support Engineer,DeepVision,Dallas,TX,32.7767,-96.797,Other,"AWS, Java",Entry,56000,2024-04-07,No
J0102,Database Administrator,FintechCo,Boston,MA,42.3601,-71.0589,SQL,"Machine Learning, Other",Mid,94000,2024-01-01,Yes
J0103,Backend Developer,CloudLabs,Los Angeles,CA,34.0522,-118.2437,Java,"Python, Machine Learning",Mid,101000,2024-04-10,No
J0104,ML Ops Engineer,Amazon,Raleigh,NC,35.7796,-78.6382,Machine Learning,"Python, Other",Senior,190000,2024-06-18,Yes
J0105,Product Analyst,CloudLabs,Seattle,WA,47.6062,-122.3321,Other,"SQL, Machine Learning, Azure",Mid,78000,2024-06-02,No
J0106,Research Scientist,CloudLabs,Boston,MA,42.3601,-71.0589,Machine Learning,AWS,Entry,99000,2024-06-16,No
J0107,Cloud Architect,StartupX,New York,NY,40.7128,-74.006,AWS,"SQL, Other",Mid,101000,2024-04-08,No
J0108,Support Engineer,CloudLabs,Los Angeles,CA,34.0522,-118.2437,Other,"SQL, Python",Entry,68000,2024-03-30,Yes
J0109,Cloud Architect,Salesforce,Denver,CO,39.7392,-104.9903,AWS,,Senior,114000,2024-01-01,Yes
J0110,Data Analyst,Meta,Boston,MA,42.3601,-71.0589,Python,"AWS, Other",Entry,79000,2024-10-23,Yes
J0111,Backend Developer,Apple,Chicago,IL,41.8781,-87.6298,Java,AWS,Entry,76000,2024-08-14,No
J0112,Data Engineer,StartupX,Chicago,IL,41.8781,-87.6298,Python,"AWS, Java",Entry,77000,2024-03-27,No
J0113,Cloud Engineer (AWS),IBM,Denver,CO,39.7392,-104.9903,AWS,Machine Learning,Entry,86000,2024-06-20,Yes
J0114,DevOps Engineer,CloudLabs,San Francisco,CA,37.7749,-122.4194,AWS,Java,Mid,125000,2024-04-25,No
J0115,Data Engineer,Google,Mountain View,CA,37.3861,-122.0839,Python,"AWS, Other",Mid,111000,2024-05-05,No
J0116,Automation Engineer,HealthAI,Seattle,WA,47.6062,-122.3321,Python,AWS,Senior,166000,2024-08-21,Yes
J0117,SQL Developer,FintechCo,Los Angeles,CA,34.0522,-118.2437,SQL,"Azure, Other",Entry,81000,2024-07-15,No
J0118,Support Engineer,Meta,New York,NY,40.7128,-74.006,Other,AWS,Entry,60000,2024-01-03,No
J0119,Support Engineer,Meta,New York,NY,40.7128,-74.006,Other,"SQL, Azure",Mid,78000,2024-09-22,No
J0120,Database Administrator,StartupX,Redmond,WA,47.673988,-122.121513,SQL,"Machine Learning, Java",Entry,69000,2024-03-03,Yes
J0121,SQL Developer,RetailCorp,Chicago,IL,41.8781,-87.6298,SQL,"Machine Learning, Python, Java",Entry,64000,2024-09-28,No
J0122,Cloud Architect,RetailCorp,Chicago,IL,41.8781,-87.6298,AWS,"SQL, Other",Mid,102000,2024-09-15,No
J0123,Cloud Architect,Netflix,New York,NY,40.7128,-74.006,Azure,"SQL, Python",Mid,110000,2024-08-31,No
J0124,Product Analyst,RetailCorp,Redmond,WA,47.673988,-122.121513,Other,"AWS, Java",Mid,99000,2024-05-21,No
J0125,Support Engineer,CloudLabs,Redmond,WA,47.673988,-122.121513,Other,"Machine Learning, Azure",Entry,58000,2024-05-20,Yes
J0126,Database Administrator,FintechCo,San Francisco,CA,37.7749,-122.4194,SQL,"Python, Other",Entry,62000,2024-04-30,Yes
J0127,Research Scientist,Apple,Denver,CO,39.7392,-104.9903,Machine Learning,,Mid,134000,2024-02-11,Yes
J0128,QA Engineer,Meta,Boston,MA,42.3601,-71.0589,Other,"AWS, Azure",Mid,84000,2024-03-19,No
J0129,Data Scientist,Amazon,Boston,MA,42.3601,-71.0589,Machine Learning,"SQL, Azure",Mid,140000,2024-07-27,No
J0130,Site Reliability Engineer,Salesforce,Mountain View,CA,37.3861,-122.0839,AWS,"Python, Machine Learning",Mid,99000,2024-04-15,Yes
J0131,Software Engineer,DeepVision,Dallas,TX,32.7767,-96.797,Java,"AWS, Machine Learning",Entry,65000,2024-01-11,No
J0132,Site Reliability Engineer,Netflix,Mountain View,CA,37.3861,-122.0839,AWS,"Java, Other",Mid,107000,2024-06-29,No
J0133,BI Developer,HealthAI,Boston,MA,42.3601,-71.0589,SQL,"AWS, Other, Azure",Mid,113000,2024-10-02,No
J0134,QA Engineer,Netflix,Redmond,WA,47.673988,-122.121513,Other,"Java, Azure",Senior,105000,2024-05-19,No
J0135,Support Engineer,Google,Boston,MA,42.3601,-71.0589,Other,"Java, Machine Learning, Azure",Entry,62000,2024-06-21,Yes
J0136,Support Engineer,FintechCo,New York,NY,40.7128,-74.006,Other,Azure,Entry,60000,2024-08-27,No
J0137,Automation Engineer,StartupX,Mountain View,CA,37.3861,-122.0839,Python,"SQL, Java",Entry,84000,2024-07-20,No
J0138,Frontend Developer,Amazon,Raleigh,NC,35.7796,-78.6382,Other,Azure,Mid,87000,2024-08-07,No
J0139,Software Engineer,Microsoft,Mountain View,CA,37.3861,-122.0839,Java,Python,Mid,116000,2024-05-13,No
J0140,Research Scientist,Meta,Chicago,IL,41.8781,-87.6298,Machine Learning,"AWS, Other",Entry,82000,2024-06-16,Yes
J0141,Support Engineer,IBM,Boston,MA,42.3601,-71.0589,Other,,Mid,79000,2024-05-09,No
J0142,ML Ops Engineer,Google,Los Angeles,CA,34.0522,-118.2437,Machine Learning,AWS,Mid,126000,2024-10-03,No
J0143,Data Analyst,Meta,Raleigh,NC,35.7796,-78.6382,Python,"Machine Learning, Azure",Entry,84000,2024-02-05,No
J0144,Machine Learning Engineer,RetailCorp,Mountain View,CA,37.3861,-122.0839,Machine Learning,Azure,Senior,157000,2024-05-06,No
J0145,Python Developer,DataWorks,New York,NY,40.7128,-74.006,Python,Java,Senior,140000,2024-05-02,No
J0146,ML Ops Engineer,CloudLabs,Seattle,WA,47.6062,-122.3321,Machine Learning,Java,Mid,120000,2024-10-15,No
J0147,Software Engineer,FintechCo,San Francisco,CA,37.7749,-122.4194,Java,,Mid,87000,2024-07-07,No
J0148,Frontend Developer,RetailCorp,New York,NY,40.7128,-74.006,Other,Azure,Entry,63000,2024-06-08,No
J0149,Cloud Engineer (AWS),DeepVision,San Francisco,CA,37.7749,-122.4194,AWS,"SQL, Python, Azure",Senior,140000,2024-10-21,Yes
J0150,Azure DevOps Engineer,Salesforce,Los Angeles,CA,34.0522,-118.2437,Azure,Machine Learning,Mid,89000,2024-04-11,No
J0151,Cloud Architect,FintechCo,Raleigh,NC,35.7796,-78.6382,Azure,Machine Learning,Senior,119000,2024-05-04,No
J0152,Data Analyst,HealthAI,Raleigh,NC,35.7796,-78.6382,Python,Azure,Entry,82000,2024-03-02,No
J0153,Python Developer,Apple,Denver,CO,39.7392,-104.9903,Python,Other,Entry,77000,2024-08-07,No
J0154,Research Scientist,Amazon,Denver,CO,39.7392,-104.9903,Machine Learning,Java,Mid,126000,2024-06-23,No
J0155,Support Engineer,HealthAI,Chicago,IL,41.8781,-87.6298,Other,AWS,Entry,64000,2024-02-24,No
J0156,Product Analyst,CloudLabs,Chicago,IL,41.8781,-87.6298,Other,SQL,Senior,122000,2024-03-19,No
J0157,QA Engineer,FintechCo,Denver,CO,39.7392,-104.9903,Other,"Java, Machine Learning, Azure",Mid,88000,2024-05-18,No
J0158,Site Reliability Engineer,Netflix,Boston,MA,42.3601,-71.0589,AWS,"SQL, Azure",Mid,92000,2024-10-30,Yes
J0159,Software Engineer,HealthAI,Redmond,WA,47.673988,-122.121513,Java,Python,Entry,67000,2024-02-14,No
J0160,BI Developer,Meta,Chicago,IL,41.8781,-87.6298,SQL,AWS,Entry,67000,2024-10-18,No
J0161,Site Reliability Engineer,Apple,Mountain View,CA,37.3861,-122.0839,AWS,SQL,Mid,114000,2024-09-10,No
J0162,Cloud Engineer (Azure),Netflix,Redmond,WA,47.673988,-122.121513,Azure,Machine Learning,Mid,95000,2024-06-30,No
J0163,Research Scientist,IBM,Dallas,TX,32.7767,-96.797,Machine Learning,"AWS, Other",Senior,165000,2024-05-21,No
J0164,Database Administrator,StartupX,Redmond,WA,47.673988,-122.121513,SQL,Machine Learning,Mid,90000,2024-02-13,No
J0165,Support Engineer,Netflix,Denver,CO,39.7392,-104.9903,Other,"AWS, Python",Senior,108000,2024-05-03,Yes
J0166,Software Engineer,CloudLabs,Los Angeles,CA,34.0522,-118.2437,Java,"Python, Azure",Entry,78000,2024-09-08,No
J0167,Python Developer,Amazon,San Francisco,CA,37.7749,-122.4194,Python,Azure,Mid,107000,2024-04-23,No
J0168,DevOps Engineer,IBM,Raleigh,NC,35.7796,-78.6382,AWS,"Java, Azure",Mid,103000,2024-10-24,No
J0169,Support Engineer,StartupX,Denver,CO,39.7392,-104.9903,Other,"SQL, Python",Entry,53000,2024-06-25,No
J0170,Cloud Architect,Apple,Los Angeles,CA,34.0522,-118.2437,AWS,SQL,Entry,86000,2024-08-20,No
J0171,Data Analyst,IBM,Redmond,WA,47.673988,-122.121513,SQL,"Machine Learning, Java",Mid,104000,2024-03-02,Yes
J0172,QA Engineer,Apple,Seattle,WA,47.6062,-122.3321,Other,"SQL, Python, Azure",Senior,91000,2024-10-01,No
J0173,QA Engineer,Meta,Redmond,WA,47.673988,-122.121513,Other,"Python, Azure",Senior,107000,2024-09-04,No
J0174,Backend Developer,DataWorks,Denver,CO,39.7392,-104.9903,Java,Azure,Entry,72000,2024-05-24,No
J0175,DevOps Engineer,IBM,Redmond,WA,47.673988,-122.121513,AWS,Java,Entry,77000,2024-07-03,Yes
J0176,Product Analyst,Google,Los Angeles,CA,34.0522,-118.2437,Other,Machine Learning,Entry,64000,2024-09-30,No
J0177,Data Analyst,Google,Mountain View,CA,37.3861,-122.0839,Python,"SQL, Java",Mid,126000,2024-10-10,Yes
J0178,SQL Developer,CloudLabs,Chicago,IL,41.8781,-87.6298,SQL,AWS,Entry,68000,2024-02-22,No
J0179,Backend Developer,IBM,Chicago,IL,41.8781,-87.6298,Java,"SQL, Azure",Mid,85000,2024-09-02,Yes
J0180,Data Analyst,Microsoft,Mountain View,CA,37.3861,-122.0839,Python,"AWS, Java",Mid,99000,2024-05-09,No
J0181,Database Administrator,HealthAI,Seattle,WA,47.6062,-122.3321,SQL,"AWS, Python",Entry,63000,2024-07-24,No
J0182,Machine Learning Engineer,DataWorks,Raleigh,NC,35.7796,-78.6382,Machine Learning,Other,Mid,116000,2024-01-28,No
J0183,Data Engineer,RetailCorp,Dallas,TX,32.7767,-96.797,Python,AWS,Mid,113000,2024-06-04,No
J0184,Data Engineer,Amazon,Denver,CO,39.7392,-104.9903,Python,"SQL, AWS, Java",Mid,95000,2024-08-01,No
J0185,DevOps Engineer,RetailCorp,Denver,CO,39.7392,-104.9903,AWS,Java,Entry,69000,2024-07-13,No
J0186,Site Reliability Engineer,IBM,Dallas,TX,32.7767,-96.797,AWS,"SQL, Java",Entry,65000,2024-08-07,Yes
J0187,Frontend Developer,DataWorks,Los Angeles,CA,34.0522,-118.2437,Other,AWS,Entry,60000,2024-02-20,No
J0188,Data Engineer,IBM,Raleigh,NC,35.7796,-78.6382,Python,Other,Senior,135000,2024-02-11,No
J0189,Data Engineer,Microsoft,Denver,CO,39.7392,-104.9903,Python,,Senior,151000,2024-02-08,No
J0190,Cloud Engineer (Azure),Salesforce,Chicago,IL,41.8781,-87.6298,Azure,"SQL, Python",Senior,141000,2024-10-31,No
J0191,Data Analyst,Google,Redmond,WA,47.673988,-122.121513,SQL,"Java, Other",Senior,128000,2024-05-27,No
J0192,Data Analyst,FintechCo,Chicago,IL,41.8781,-87.6298,SQL,"AWS, Python, Other",Entry,70000,2024-02-06,No
J0193,QA Engineer,DeepVision,San Francisco,CA,37.7749,-122.4194,Other,"SQL, AWS",Senior,120000,2024-10-28,No
J0194,Java Developer,Salesforce,Seattle,WA,47.6062,-122.3321,Java,AWS,Mid,99000,2024-10-05,No
J0195,Data Scientist,DeepVision,San Francisco,CA,37.7749,-122.4194,Machine Learning,Other,Senior,135000,2024-03-13,Yes
J0196,Database Administrator,Microsoft,San Francisco,CA,37.7749,-122.4194,SQL,"Python, Java, Azure",Mid,105000,2024-10-31,No
J0197,Research Scientist,Netflix,Seattle,WA,47.6062,-122.3321,Machine Learning,"SQL, AWS",Mid,128000,2024-08-27,Yes
J0198,Product Analyst,FintechCo,Boston,MA,42.3601,-71.0589,Other,AWS,Mid,92000,2024-05-19,Yes
J0199,Automation Engineer,Netflix,Chicago,IL,41.8781,-87.6298,Python,"Machine Learning, Other",Entry,79000,2024-02-11,No
J0200,Cloud Engineer (AWS),DeepVision,Boston,MA,42.3601,-71.0589,AWS,"Python, Java, Azure",Mid,100000,2024-06-14,Yes
J0201,Cloud Architect,Google,Seattle,WA,47.6062,-122.3321,AWS,"Python, Java",Entry,78000,2024-04-27,No
J0202,Automation Engineer,DataWorks,Mountain View,CA,37.3861,-122.0839,Python,Machine Learning,Entry,84000,2024-05-17,No
J0203,Frontend Developer,RetailCorp,New York,NY,40.7128,-74.006,Other,"AWS, Azure",Entry,63000,2024-08-28,No
J0204,Support Engineer,DeepVision,San Francisco,CA,37.7749,-122.4194,Other,"AWS, Machine Learning",Mid,85000,2024-04-02,No
J0205,BI Developer,CloudLabs,Chicago,IL,41.8781,-87.6298,SQL,AWS,Senior,119000,2024-02-16,No
J0206,Product Analyst,Salesforce,Austin,TX,30.2672,-97.7431,Other,Python,Mid,84000,2024-06-13,No
J0207,Frontend Developer,HealthAI,New York,NY,40.7128,-74.006,Other,"Python, Azure",Entry,68000,2024-06-17,Yes
J0208,Support Engineer,IBM,Raleigh,NC,35.7796,-78.6382,Other,"Python, Java",Entry,58000,2024-07-24,No
J0209,Machine Learning Engineer,Netflix,Seattle,WA,47.6062,-122.3321,Machine Learning,Java,Entry,91000,2024-06-10,No
J0210,Product Analyst,Amazon,Boston,MA,42.3601,-71.0589,Other,Python,Senior,116000,2024-09-20,No
J0211,Support Engineer,Salesforce,Mountain View,CA,37.3861,-122.0839,Other,"AWS, Java, Azure",Mid,78000,2024-04-06,Yes
J0212,Research Scientist,DataWorks,Chicago,IL,41.8781,-87.6298,Machine Learning,Java,Senior,157000,2024-08-14,No
J0213,QA Engineer,IBM,Denver,CO,39.7392,-104.9903,Other,"SQL, AWS",Entry,61000,2024-03-08,No
J0214,Software Engineer,DeepVision,Los Angeles,CA,34.0522,-118.2437,Java,,Mid,108000,2024-09-05,Yes
J0215,Frontend Developer,CloudLabs,Dallas,TX,32.7767,-96.797,Other,"AWS, Python, Java",Senior,119000,2024-05-02,No
